STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,SNWD,SNOW,TMAX,TMIN
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600506,5,0,0,122,28
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600507,0,0,0,72,22
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600508,3,0,0,72,28
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600509,0,0,0,83,11
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600510,0,0,0,122,0
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600511,0,0,0,94,-11
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600512,10,0,0,100,33
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600513,0,0,0,122,11
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600514,0,0,0,161,28
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600515,0,0,0,150,6
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600516,0,0,0,128,-11
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600517,0,0,0,128,6
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600518,5,0,0,117,22
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600519,0,0,0,111,17
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600520,0,0,0,178,0
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600521,10,0,0,122,11
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600522,86,0,0,150,67
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600523,46,0,0,206,72
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600524,8,0,0,128,83
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600525,0,0,0,133,67
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600526,48,0,0,78,61
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600527,0,0,0,106,39
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600528,0,0,0,172,33
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600529,15,0,0,94,67
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600530,0,0,0,89,61
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600531,0,0,0,106,44
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600601,0,0,0,122,33
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600602,0,0,0,117,56
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600603,0,0,0,156,0
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600604,0,0,0,156,22
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600605,0,0,0,211,61
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600606,0,0,0,117,72
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600607,0,0,0,133,44
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600608,0,0,0,206,44
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600609,3,0,0,161,33
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600610,0,0,0,200,6
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600611,0,0,0,156,33
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600612,0,0,0,167,11
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600613,0,0,0,161,72
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600614,0,0,0,167,56
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600615,0,0,0,150,28
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600616,0,0,0,189,44
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600617,0,0,0,167,44
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600618,0,0,0,194,61
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600619,0,0,0,144,61
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600620,0,0,0,189,6
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600621,0,0,0,183,61
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600622,0,0,0,172,72
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600623,0,0,0,150,94
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600624,0,0,0,122,78
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600625,30,0,0,150,83
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600626,0,0,0,133,67
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600627,0,0,0,189,28
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600628,33,0,0,167,83
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600629,15,0,0,150,78
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600630,18,0,0,128,83
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600701,56,0,0,144,67
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600702,3,0,0,178,22
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600703,0,0,0,178,61
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600704,56,0,0,189,83
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600705,8,0,0,133,72
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600706,20,0,0,128,78
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600707,0,0,0,150,83
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600708,0,0,0,122,78
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600709,0,0,0,194,50
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600710,0,0,0,183,44
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600711,0,0,0,278,100
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600712,0,0,0,256,67
